AÑO,CLAVE ENTIDAD,ENTIDAD,MÉDICOS,POBLACIÓN MEDIA,TASA DE MÉDICOS POR 1000 HAB
2010,00,Nacional,39086,114255557,0.3420928
2011,00,Nacional,41170,115682867,0.3558868
2012,00,Nacional,42611,117053751,0.3640293
2013,00,Nacional,44113,118395054,0.3725916
2014,00,Nacional,47597,119713203,0.3975919
2015,00,Nacional,49279,121005816,0.4072449
2010,01,Aguascalientes,444,1195787,0.3713036
2011,01,Aguascalientes,440,1215094,0.3621118
2012,01,Aguascalientes,436,1233921,0.3533452
2013,01,Aguascalientes,450,1252265,0.3593488
2014,01,Aguascalientes,465,1270174,0.3660915
2015,01,Aguascalientes,485,1287660,0.3766522
2010,02,Baja California,547,3224844,0.1696206
2011,02,Baja California,558,3275399,0.1703609
2012,02,Baja California,621,3328623,0.1865636
2013,02,Baja California,636,3381080,0.1881056
2014,02,Baja California,724,3432944,0.2108977
2015,02,Baja California,762,3484150,0.2187047
2010,03,Baja California Sur,266,649616,0.4094726
2011,03,Baja California Sur,307,672682,0.4563818
2012,03,Baja California Sur,330,695409,0.4745409
2013,03,Baja California Sur,331,718196,0.4608770
2014,03,Baja California Sur,377,741037,0.5087463
2015,03,Baja California Sur,353,763929,0.4620848
2010,04,Campeche,440,836748,0.5258454
2011,04,Campeche,407,852373,0.4774906
2012,04,Campeche,396,866375,0.4570768
2013,04,Campeche,427,880299,0.4850626
2014,04,Campeche,433,894136,0.4842662
2015,04,Campeche,470,907878,0.5176907
2010,05,Chiapas,623,4903755,0.1270455
2011,05,Chiapas,587,4980633,0.1178565
2012,05,Chiapas,566,5050568,0.1120666
2013,05,Chiapas,594,5119186,0.1160341
2014,05,Chiapas,586,5186572,0.1129841
2015,05,Chiapas,589,5252808,0.1121305
2010,06,Chihuahua,388,3525273,0.1100624
2011,06,Chihuahua,396,3559248,0.1112595
2012,06,Chihuahua,398,3598792,0.1105927
2013,06,Chihuahua,393,3635966,0.1080868
2014,06,Chihuahua,394,3673342,0.1072593
2015,06,Chihuahua,409,3710129,0.1102388
2010,07,Coahuila,1495,2782013,0.5373808
2011,07,Coahuila,1774,2818077,0.6295072
2012,07,Coahuila,1953,2854334,0.6842226
2013,07,Coahuila,2277,2890108,0.7878598
2014,07,Coahuila,2379,2925594,0.8131683
2015,07,Coahuila,2439,2960681,0.8237970
2010,08,Colima,751,658910,1.1397614
2011,08,Colima,906,672263,1.3476869
2012,08,Colima,925,685394,1.3495885
2013,08,Colima,921,698295,1.3189262
2014,08,Colima,933,710982,1.3122699
2015,08,Colima,983,723455,1.3587576
2010,09,Ciudad de México,3001,8944599,0.3355097
2011,09,Ciudad de México,3092,8928400,0.3463106
2012,09,Ciudad de México,3064,8911665,0.3438190
2013,09,Ciudad de México,2909,8893742,0.3270839
2014,09,Ciudad de México,2891,8874724,0.3257566
2015,09,Ciudad de México,3127,8854600,0.3531498
2010,10,Durango,599,1669815,0.3587225
2011,10,Durango,602,1690418,0.3561249
2012,10,Durango,650,1709741,0.3801745
2013,10,Durango,695,1728429,0.4020993
2014,10,Durango,743,1746805,0.4253479
2015,10,Durango,760,1764726,0.4306618
2010,11,Guanajuato,2086,5558502,0.3752810
2011,11,Guanajuato,2347,5614698,0.4180100
2012,11,Guanajuato,2238,5668181,0.3948357
2013,11,Guanajuato,2330,5719709,0.4073634
2014,11,Guanajuato,2343,5769524,0.4060993
2015,11,Guanajuato,2385,5817614,0.4099619
2010,12,Guerrero,1996,3444264,0.5795142
2011,12,Guerrero,1994,3473454,0.5740683
2012,12,Guerrero,2059,3499507,0.5883687
2013,12,Guerrero,2147,3523858,0.6092755
2014,12,Guerrero,2757,3546710,0.7773402
2015,12,Guerrero,2870,3568139,0.8043409
2010,13,Hidalgo,1339,2690086,0.4977537
2011,13,Hidalgo,1399,2730570,0.5123472
2012,13,Hidalgo,1517,2768973,0.5478565
2013,13,Hidalgo,1546,2806334,0.5508966
2014,13,Hidalgo,1700,2842784,0.5980053
2015,13,Hidalgo,1736,2878369,0.6031193
2010,14,Jalisco,2068,7442625,0.2778589
2011,14,Jalisco,2213,7543233,0.2933755
2012,14,Jalisco,2245,7644152,0.2936886
2013,14,Jalisco,2426,7742303,0.3133434
2014,14,Jalisco,2912,7838010,0.3715229
2015,14,Jalisco,3091,7931267,0.3897234
2010,15,México,3656,15571679,0.2347852
2011,15,México,4213,15845558,0.2658789
2012,15,México,4301,16106485,0.2670353
2013,15,México,4572,16364210,0.2793902
2014,15,México,5019,16618929,0.3020050
2015,15,México,5004,16870388,0.2966144
2010,16,Michoacán,1798,4420270,0.4067624
2011,16,Michoacán,1874,4458100,0.4203584
2012,16,Michoacán,2048,4494730,0.4556447
2013,16,Michoacán,2059,4529914,0.4545340
2014,16,Michoacán,1991,4563849,0.4362545
2015,16,Michoacán,1982,4596499,0.4311977
2010,17,Morelos,680,1803340,0.3770780
2011,17,Morelos,726,1827187,0.3973322
2012,17,Morelos,721,1850812,0.3895588
2013,17,Morelos,837,1874188,0.4465933
2014,17,Morelos,929,1897393,0.4896192
2015,17,Morelos,889,1920350,0.4629364
2010,18,Nayarit,648,1108860,0.5843838
2011,18,Nayarit,666,1132215,0.5882274
2012,18,Nayarit,638,1155448,0.5521667
2013,18,Nayarit,743,1178403,0.6305144
2014,18,Nayarit,736,1201202,0.6127198
2015,18,Nayarit,746,1223797,0.6095782
2010,19,Nuevo León,880,4723273,0.1863115
2011,19,Nuevo León,890,4797263,0.1855225
2012,19,Nuevo León,896,4868844,0.1840273
2013,19,Nuevo León,974,4941059,0.1971237
2014,19,Nuevo León,1076,5013589,0.2146167
2015,19,Nuevo León,1063,5085848,0.2090114
2010,20,Oaxaca,1990,3868109,0.5144633
2011,20,Oaxaca,2093,3901419,0.5364715
2012,20,Oaxaca,2173,3930833,0.5528091
2013,20,Oaxaca,2105,3959042,0.5316942
2014,20,Oaxaca,2255,3986206,0.5657008
2015,20,Oaxaca,2223,4012295,0.5540470
2010,21,Puebla,1910,5863823,0.3257261
2011,21,Puebla,1845,5935014,0.3108670
2012,21,Puebla,2016,6002162,0.3358790
2013,21,Puebla,2138,6067607,0.3523630
2014,21,Puebla,2377,6131498,0.3876704
2015,21,Puebla,2536,6193836,0.4094393
2010,22,Querétaro,690,1848191,0.3733380
2011,22,Querétaro,764,1881105,0.4061443
2012,22,Querétaro,873,1912803,0.4563984
2013,22,Querétaro,889,1943889,0.4573306
2014,22,Querétaro,889,1974436,0.4502551
2015,22,Querétaro,902,2004472,0.4499938
2010,23,Quintana Roo,482,1350945,0.3567873
2011,23,Quintana Roo,500,1395357,0.3583313
2012,23,Quintana Roo,508,1440115,0.3527496
2013,23,Quintana Roo,476,1484960,0.3205473
2014,23,Quintana Roo,600,1529877,0.3921883
2015,23,Quintana Roo,670,1574824,0.4254444
2010,24,San Luis Potosí,944,2616459,0.3607930
2011,24,San Luis Potosí,720,2647570,0.2719475
2012,24,San Luis Potosí,1073,2675311,0.4010749
2013,24,San Luis Potosí,1072,2702145,0.3967218
2014,24,San Luis Potosí,1118,2728208,0.4097929
2015,24,San Luis Potosí,1122,2753478,0.4074846
2010,25,Sinaloa,956,2851334,0.3352817
2011,25,Sinaloa,1003,2878525,0.3484423
2012,25,Sinaloa,1064,2905750,0.3661705
2013,25,Sinaloa,1091,2932313,0.3720613
2014,25,Sinaloa,1257,2958691,0.4248501
2015,25,Sinaloa,1234,2984571,0.4134598
2010,26,Sonora,759,2727032,0.2783246
2011,26,Sonora,769,2767364,0.2778818
2012,26,Sonora,823,2809806,0.2929027
2013,26,Sonora,895,2851462,0.3138741
2014,26,Sonora,917,2892464,0.3170307
2015,26,Sonora,1131,2932821,0.3856355
2010,27,Tabasco,1776,2252641,0.7884079
2011,27,Tabasco,1749,2283140,0.7660501
2012,27,Tabasco,1775,2309071,0.7687074
2013,27,Tabasco,1732,2334493,0.7419171
2014,27,Tabasco,1743,2359444,0.7387335
2015,27,Tabasco,1894,2383900,0.7944964
2010,28,Tamaulipas,1200,3334664,0.3598563
2011,28,Tamaulipas,1319,3376515,0.3906395
2012,28,Tamaulipas,1339,3419338,0.3915962
2013,28,Tamaulipas,1420,3461336,0.4102463
2014,28,Tamaulipas,1608,3502721,0.4590717
2015,28,Tamaulipas,1637,3543366,0.4619901
2010,29,Tlaxcala,587,1186143,0.4948815
2011,29,Tlaxcala,903,1206291,0.7485757
2012,29,Tlaxcala,900,1224637,0.7349117
2013,29,Tlaxcala,850,1242734,0.6839758
2014,29,Tlaxcala,906,1260628,0.7186892
2015,29,Tlaxcala,926,1278308,0.7243951
2010,30,Veracruz,2878,7712247,0.3731727
2011,30,Veracruz,2856,7791801,0.3665391
2012,30,Veracruz,2825,7858604,0.3594786
2013,30,Veracruz,2859,7923198,0.3608391
2014,30,Veracruz,3065,7985893,0.3838018
2015,30,Veracruz,3190,8046828,0.3964295
2010,31,Yucatán,517,1980690,0.2610201
2011,31,Yucatán,519,2009160,0.2583169
2012,31,Yucatán,492,2036694,0.2415679
2013,31,Yucatán,491,2064151,0.2378702
2014,31,Yucatán,573,2091513,0.2739644
2015,31,Yucatán,736,2118762,0.3473727
2010,32,Zacatecas,692,1509019,0.4585759
2011,32,Zacatecas,739,1522741,0.4853092
2012,32,Zacatecas,748,1536674,0.4867656
2013,32,Zacatecas,828,1550179,0.5341319
2014,32,Zacatecas,901,1563324,0.5763361
2015,32,Zacatecas,935,1576068,0.5932485
